vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
SNOMED,Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2023-07-31 SNOMED CT International Edition; 2023-09-01 SNOMED CT US Edition; 2023-09-27 SNOMED CT UK Edition,44819097
Gender,OMOP Gender,OMOP generated,,44819108
CPT4,Current Procedural Terminology version 4 (AMA),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2023 Release,44819100
Note Type,OMOP Note Type,OMOP generated,,44819146
Cohort Type,OMOP Cohort Type,OMOP generated,,44819234
Death Type,OMOP Death Type,OMOP generated,,44819135
CDM,OMOP Common DataModel,https://github.com/OHDSI/CommonDataModel,CDM v6.0.0,32485
OSM,OpenStreetMap (OSMF),"https://www.openstreetmap.org/copyright/en, https://wambachers-osm.website/boundaries/",OSM Release 2019-02-21,32541
NUCC,National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC),http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132,2018-06-26 NUCC,44819137
Revenue Code,UB04/CMS1450 Revenue Codes (CMS),http://www.mpca.net/?page=ERC_finance,2010 Release,44819133
Cost,OMOP Cost,OMOP generated,,581457
UB04 Pt dis status,UB04 Patient Discharge Status Code (CMS),https://www.resdac.org/cms-data/variables/patient-discharge-status-code,,32047
UB04 Pri Typ of Adm,UB04 Claim Inpatient Admission Type Code (CMS),https://www.resdac.org/cms-data/variables/Claim-Inpatient-Admission-Type-Code,,32046
Vocabulary,OMOP Vocabulary,OMOP generated,,44819232
Type Concept,OMOP Type Concept,OMOP generated,Type Concept 20221030,32808
ICD10CM,"International Classification of Diseases, Tenth Revision, Clinical Modification (NCHS)",https://www.cdc.gov/nchs/icd/icd-10-cm.htm,ICD10CM FY2024 code descriptions,44819098
Language,OMOP Language,OMOP generated,Language 20221030,33069
LOINC,Logical Observation Identifiers Names and Codes (Regenstrief Institute),http://loinc.org/downloads/loinc,LOINC 2.76,44819102
